 X Translation (mm), Y Translation (mm), Z Translation (mm),,,,,,, 
0,-1.059819699,0.370019577,,,,,,, 
-0.864473214,-1.059819699,0.108986457,,,,,,, 
-0.864473214,-0.638841202,-0.132510582,,,,,,, 
-0.845927647,-0.638841202,-1.611082137,,,,,,, 
-0.845927647,-1.271505136,-3.032768523,,,,,,, 
-0.635809052,-1.271505136,-4.246692835,,,,,,, 
-0.635809052,-0.917864387,-4.962622621,,,,,,, 
-0.519688889,-0.917864387,-4.277595057,,,,,,, 
-0.519688889,-1.083124386,-2.606811027,,,,,,, 
-0.843524561,-1.083124386,-1.438313032,,,,,,, 
-0.843524561,-0.781871418,-0.528465145,,,,,,, 
-0.902484623,-0.781871418,-0.1336767,,,,,,, 
-0.902484623,-1.314035295,0.070099591,,,,,,, 
-0.83967134,-1.314035295,0.221855682,,,,,,, 
-0.83967134,-0.857709374,0.553475158,,,,,,, 
-0.85568895,-0.857709374,0.569804903,,,,,,, 
-0.85568895,-1.39059732,0.323502506,,,,,,, 
-0.953246504,-1.39059732,-0.271918299,,,,,,, 
-0.953246504,-1.018914829,-1.263755167,,,,,,, 
-0.805443836,-1.018914829,-2.265644519,,,,,,, 
-0.805443836,-1.636246651,-3.650749345,,,,,,, 
-0.630152692,-1.636246651,-3.684750471,,,,,,, 
-0.630152692,-1.086336,-2.525172868,,,,,,, 
-0.870673898,-1.086336,-1.068558119,,,,,,, 
-0.870673898,-1.528320024,-0.790391196,,,,,,, 
-0.976587875,-1.528320024,-0.045233668,,,,,,, 
-0.976587875,-1.264459705,0.337862434,,,,,,, 
-0.936024659,-1.264459705,0.396394546,,,,,,, 
-0.936024659,-1.497347797,0.543114456,,,,,,, 
-1.017025946,-1.497347797,0.57511561,,,,,,, 
-1.017025946,-1.450629512,0.613917096,,,,,,, 
-1.001791985,-1.450629512,-0.000870378,,,,,,, 
-1.001791985,-1.47451317,-0.961192776,,,,,,, 
-0.993622837,-1.47451317,-2.013372957,,,,,,, 
-0.993622837,-1.509554679,-3.131903247,,,,,,, 
-0.636165807,-1.509554679,-3.741325935,,,,,,, 
-0.636165807,-1.242081162,-2.892891186,,,,,,, 
-0.977543655,-1.242081162,-1.512524302,,,,,,, 
-0.977543655,-1.39652696,-0.725070645,,,,,,, 
-0.943262654,-1.39652696,-0.029501895,,,,,,, 
-0.943262654,-1.079614798,0.415286901,,,,,,, 
-1.019517312,-1.079614798,0.297833148,,,,,,, 
-1.019517312,-1.159707171,0.438974901,,,,,,, 
-0.858178519,-1.159707171,0.478932773,,,,,,, 
-0.858178519,-0.786498268,0.84567485,,,,,,, 
-0.962211931,-0.786498268,0.060704003,,,,,,, 
-0.962211931,-1.240536269,-0.226217246,,,,,,, 
-0.707898478,-1.240536269,-1.383752888,,,,,,, 
-0.707898478,-1.00902609,-1.939276002,,,,,,, 
-0.617955647,-1.00902609,-3.443958398,,,,,,, 
-0.617955647,-1.37839435,-4.321349834,,,,,,, 
-0.450515201,-1.37839435,-3.58179488,,,,,,, 
-0.450515201,-0.838942308,-1.44433838,,,,,,, 
-0.875069331,-0.838942308,-0.898828164,,,,,,, 
-0.875069331,-1.265699272,-0.016050208,,,,,,, 
-0.778170584,-1.265699272,0.060957871,,,,,,, 
-0.778170584,-1.031961717,0.481012019,,,,,,, 
-0.94190402,-1.031961717,0.483398782,,,,,,, 
-0.94190402,-1.295302043,0.276105216,,,,,,, 
-0.768806824,-1.295302043,-0.617256154,,,,,,, 
-0.768806824,-0.931002452,-1.212119175,,,,,,, 
-0.598628266,-0.931002452,-2.599998207,,,,,,, 
-0.598628266,-1.519612793,-3.858971416,,,,,,, 
-0.348640885,-1.519612793,-4.640046759,,,,,,, 
