 X Translation (mm), Y Translation (mm), Z Translation (mm), 
1.938011972,0,1.952314141, 
1.938011972,3.678026328,-0.053385832, 
2.123052502,3.678026328,4.230809069, 
2.123052502,4.426714972,2.094067245, 
2.222204648,4.426714972,6.528834895, 
2.222204648,4.316965238,3.166041375, 
2.925728481,4.316965238,7.644272733, 
2.925728481,4.910445409,4.220213269, 
3.086270267,4.910445409,7.77797239, 
3.086270267,4.209746219,4.148632762, 
3.236071753,4.209746219,8.875028379, 
3.236071753,4.116125192,4.328500569, 
2.206258066,4.116125192,7.557247268, 
2.206258066,3.783501239,3.130480818, 
0.077014762,3.783501239,0.971357122, 
0.077014762,1.959919197,-1.628637231, 
-0.249249881,1.959919197,-3.775531478, 
-0.249249881,1.958517864,-3.631866697, 
1.708653578,1.958517864,0.521611708, 
1.708653578,3.142646415,-1.191888369, 
2.102764716,3.142646415,3.304396553, 
2.102764716,4.320760046,1.882272769, 
2.174664541,4.320760046,6.281486002, 
2.174664541,4.396506748,3.188909212, 
2.096516131,4.396506748,7.303308012, 
2.096516131,4.000554556,3.043984964, 
1.08013214,4.000554556,1.803263933, 
1.08013214,2.072300048,-1.109306323, 
-1.057524187,2.072300048,-4.812644915, 
-1.057524187,0.617043573,-7.14043024, 
0.608883698,0.617043573,-3.542583845, 
0.608883698,1.749880162,-4.032973056, 
1.769234085,1.749880162,-0.21593926, 
1.769234085,2.650558418,-1.669339802, 
2.162048284,2.650558418,2.061408459, 
2.162048284,3.762642049,0.526786113, 
2.256847777,3.762642049,5.24153623, 
2.256847777,4.382231998,3.025514012, 
2.16397266,4.382231998,6.338427898, 
2.16397266,4.302549795,3.170375091, 
2.23819115,4.302549795,7.457667585, 
2.23819115,4.012763751,3.020790236, 
1.232439679,4.012763751,2.047458287, 
1.232439679,2.116581429,-1.199669804, 
-0.053908738,2.116581429,-3.551110428, 
-0.053908738,0.778562155,-6.210143484, 
0.907802041,0.778562155,-2.884345274, 
0.907802041,1.873602374,-3.83524433, 
2.071136025,1.873602374,-0.071506917, 
2.071136025,2.777059055,-2.153956733, 
2.289932462,2.777059055,2.841225769, 
